actor,object,metadata
20120010,10-1：开篇实例,21.01
20120010,10-2：Hadoop和Spark生态,31.92
20120010,10-3：MapReduce入门,23.64
20120010,10-4：SQL on Hadoop,24.89
20120010,10-5：大数据系统实例,19.28
20120010,10-6：总结,19.64
201722111930013,10-1：开篇实例,755.53
201722111930013,10-2：Hadoop和Spark生态,1431.34
201722111930013,10-3：MapReduce入门,1026.58
201722111930013,10-4：SQL on Hadoop,1646.31
201722111930013,10-5：大数据系统实例,687.93
201722111930013,图文课件,399.84999999999997
201822111220032,10-1：开篇实例,244.88
201822111220032,10-2：Hadoop和Spark生态,574.8
201822111220032,图文课件,0.18
201822111310033,10-1：开篇实例,211.73
201822111310033,10-2：Hadoop和Spark生态,513.0
201822111310033,10-3：MapReduce入门,1607.7199999999998
201822111310033,10-4：SQL on Hadoop,1145.46
201822111310033,10-5：大数据系统实例,711.35
201822111310033,10-6：总结,8.459999999999999
201822111310033,图文课件,15.19
201822111310036,10-1：开篇实例,885.5699999999999
201822111310036,10-2：Hadoop和Spark生态,590.29
201822111310036,10-3：MapReduce入门,1052.38
201822111310036,10-4：SQL on Hadoop,747.31
201822111310036,10-5：大数据系统实例,1103.78
201822111310036,图文课件,201.52
201822111310055,10-1：开篇实例,404.47999999999996
201822111310055,10-2：Hadoop和Spark生态,1725.72
201822111310055,10-3：MapReduce入门,1005.49
201822111310055,10-4：SQL on Hadoop,737.51
201822111310055,10-5：大数据系统实例,478.71
201822111310055,图文课件,1.22
201822111310099,10-1：开篇实例,1.06
201822111310099,10-2：Hadoop和Spark生态,5.29
201822111310099,10-3：MapReduce入门,20.1
201822111310099,10-4：SQL on Hadoop,12.48
201822111310099,10-5：大数据系统实例,14.54
201822111310099,10-6：总结,8.72
201822111310124,10-1：开篇实例,298.22
201822111310124,10-2：Hadoop和Spark生态,577.78
201822111310124,10-3：MapReduce入门,981.41
201822111310124,10-4：SQL on Hadoop,1392.56
201822111310124,10-5：大数据系统实例,502.79
201822111310124,图文课件,79.92
201822111310127,10-1：开篇实例,308.56
201822111310127,10-2：Hadoop和Spark生态,735.41
201822111310127,10-3：MapReduce入门,1018.88
201822111310127,10-4：SQL on Hadoop,461.39
201822111310127,10-5：大数据系统实例,500.02
201822111310127,图文课件,8.26
201822111310139,10-1：开篇实例,2214.5699999999997
201822111310139,10-2：Hadoop和Spark生态,518.04
201822111310139,10-3：MapReduce入门,954.28
201822111310139,10-4：SQL on Hadoop,985.5500000000001
201822111310139,10-5：大数据系统实例,660.48
201822111310139,10-6：总结,0.23
201822111310139,图文课件,14.34
201822111310142,10-1：开篇实例,307.5
201822111310142,10-2：Hadoop和Spark生态,1618.99
201822111310142,10-3：MapReduce入门,2543.47
201822111310142,10-4：SQL on Hadoop,790.89
201822111310142,10-5：大数据系统实例,4617.27
201822111310144,10-1：开篇实例,697.51
201822111310144,10-2：Hadoop和Spark生态,5801.62
201822111310144,10-3：MapReduce入门,3142.4900000000002
201822111310144,10-4：SQL on Hadoop,810.1999999999999
201822111310144,10-5：大数据系统实例,477.82
201822111310144,10-6：总结,80.0
201822111310144,图文课件,9.09
201822111310156,10-2：Hadoop和Spark生态,1038.12
201822111310156,10-3：MapReduce入门,1092.96
201822111310156,10-4：SQL on Hadoop,397.68
201822111310156,10-5：大数据系统实例,24.8
