actor,object,metadata
20120010,5-1：开篇实例,18.55
20120010,5-2：问题求解与思维方式,16.07
20120010,5-3：计算思维与数据思维,18.3
20120010,5-4：像数据科学家一样思考,18.48
201722111930013,5-1：开篇实例,2898.32
201722111930013,5-2：问题求解与思维方式,1579.0500000000002
201722111930013,5-3：计算思维与数据思维,1232.86
201722111930013,5-4：像数据科学家一样思考,935.97
201822111220032,5-1：开篇实例,777.3299999999999
201822111220032,5-2：问题求解与思维方式,2270.1800000000003
201822111220032,5-3：计算思维与数据思维,3683.7200000000003
201822111220032,5-4：像数据科学家一样思考,1887.69
201822111310017,5-1：开篇实例,452.58
201822111310033,5-3：计算思维与数据思维,295.39
201822111310033,5-4：像数据科学家一样思考,402.14
201822111310033,5-5：总结,38.95
201822111310036,5-1：开篇实例,356.54
201822111310036,5-2：问题求解与思维方式,1533.8500000000001
201822111310036,5-3：计算思维与数据思维,1488.52
201822111310036,5-4：像数据科学家一样思考,570.85
201822111310043,5-1：开篇实例,623.65
201822111310043,5-2：问题求解与思维方式,2080.38
201822111310043,5-3：计算思维与数据思维,1266.11
201822111310043,5-4：像数据科学家一样思考,621.27
201822111310055,5-1：开篇实例,367.95
201822111310055,5-2：问题求解与思维方式,809.79
201822111310055,5-3：计算思维与数据思维,1195.8
201822111310055,5-4：像数据科学家一样思考,659.71
201822111310071,5-1：开篇实例,1440.36
201822111310071,5-2：问题求解与思维方式,762.82
201822111310071,5-3：计算思维与数据思维,235.54000000000002
201822111310071,5-4：像数据科学家一样思考,702.63
201822111310075,5-1：开篇实例,634.04
201822111310075,5-2：问题求解与思维方式,748.3
201822111310075,5-3：计算思维与数据思维,632.46
201822111310087,5-1：开篇实例,5.48
201822111310087,5-2：问题求解与思维方式,608.17
201822111310087,5-3：计算思维与数据思维,1586.43
201822111310087,5-4：像数据科学家一样思考,1022.16
201822111310103,5-1：开篇实例,416.71999999999997
201822111310103,5-2：问题求解与思维方式,813.9899999999999
201822111310103,5-3：计算思维与数据思维,1560.4199999999998
201822111310103,5-4：像数据科学家一样思考,603.92
201822111310103,5-5：总结,668.13
201822111310123,5-1：开篇实例,0.14
