object,actor,metadata
5-1：开篇实例,20120010,18.55
5-1：开篇实例,201722111930013,2898.32
5-1：开篇实例,201822111220032,777.3299999999999
5-1：开篇实例,201822111310017,452.58
5-1：开篇实例,201822111310036,356.54
5-1：开篇实例,201822111310043,623.65
5-1：开篇实例,201822111310055,367.95
5-1：开篇实例,201822111310071,1440.36
5-1：开篇实例,201822111310075,634.04
5-1：开篇实例,201822111310087,5.48
5-1：开篇实例,201822111310103,416.71999999999997
5-1：开篇实例,201822111310123,0.14
5-1：开篇实例,201822111310124,544.53
5-1：开篇实例,201822111310127,394.61
5-1：开篇实例,201822111310130,373.49
5-1：开篇实例,201822111310131,373.05
5-1：开篇实例,201822111310139,415.94
5-1：开篇实例,201822111310142,24720.33
5-1：开篇实例,201822111310144,479.02
5-1：开篇实例,201822111310147,363.93
5-1：开篇实例,201822111310156,364.22
5-1：开篇实例,201822111310166,362.67
5-1：开篇实例,201822111310174,17.11
5-1：开篇实例,201822111310175,29.33
5-1：开篇实例,201822111310194,434.19
5-1：开篇实例,201822111310206,372.84
5-1：开篇实例,201822111310212,800.57
5-1：开篇实例,201822111310259,436.39
5-1：开篇实例,201822111310261,634.23
5-1：开篇实例,201822111310288,484.0
5-1：开篇实例,201822111310299,552.27
5-1：开篇实例,201822111310324,833.57
5-1：开篇实例,201822111310326,270.61
5-1：开篇实例,201822111310332,867.77
5-1：开篇实例,201822111321005,819.55
5-1：开篇实例,201822111321019,507.89
5-1：开篇实例,201822111321038,448.13
5-1：开篇实例,201822111511015,155.46
5-1：开篇实例,201822111511016,509.9
5-1：开篇实例,201931103031004,1260.65
5-1：开篇实例,201931106020148,361.41
5-1：开篇实例,201931106020172,319.66
5-1：开篇实例,201931106030001,363.32
5-1：开篇实例,201931107010103,1096.79
5-1：开篇实例,201931107010206,346.01
5-1：开篇实例,201931107010235,1519.64
5-1：开篇实例,201931108021022,358.27
5-1：开篇实例,201931108024014,710.54
5-1：开篇实例,201931109010006,333.43
5-2：问题求解与思维方式,20120010,16.07
